sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
25N04478	1	Lane5	2332T2LT4	ILLUMINA	5	25N04478	25N04478_Lane5	fastqs/LOSH_010/L_25N04478_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04478_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	7737124.748	7519579.829
25N04479	1	Lane4	2332T2LT4	ILLUMINA	4	25N04479	25N04479_Lane4	fastqs/LOSH_011/L_25N04479_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N04479_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	6630426.891	6502361.581
25N04480	1	Lane5	2332T2LT4	ILLUMINA	5	25N04480	25N04480_Lane5	fastqs/LOSH_010/L_25N04480_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04480_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	8251782.773	8087104.732
25N04481	1	Lane5	2332T2LT4	ILLUMINA	5	25N04481	25N04481_Lane5	fastqs/LOSH_010/L_25N04481_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04481_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	4497855.984	4402302.51
25N04482	1	Lane5	2332T2LT4	ILLUMINA	5	25N04482	25N04482_Lane5	fastqs/LOSH_010/L_25N04482_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04482_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	9103660.637	8964262.657
25N04483	1	Lane7	2335FYLT4	ILLUMINA	7	25N04483	25N04483_Lane7	fastqs/LOSH_009/L_25N04483_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04483_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	10258122.092	10073168.853
25N04484	1	Lane7	2335FYLT4	ILLUMINA	7	25N04484	25N04484_Lane7	fastqs/LOSH_009/L_25N04484_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04484_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	10772002.838	10597959.573
25N04485	1	Lane5	2332T2LT4	ILLUMINA	5	25N04485	25N04485_Lane5	fastqs/LOSH_010/L_25N04485_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04485_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	7724427.065	7395231.156
25N04486	1	Lane5	2332T2LT4	ILLUMINA	5	25N04486	25N04486_Lane5	fastqs/LOSH_010/L_25N04486_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04486_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	6988025.572	6760330.089
25N04487	1	Lane5	2332T2LT4	ILLUMINA	5	25N04487	25N04487_Lane5	fastqs/LOSH_010/L_25N04487_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04487_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	7472452.606	7261425.833
25N04488	1	Lane5	2332T2LT4	ILLUMINA	5	25N04488	25N04488_Lane5	fastqs/LOSH_010/L_25N04488_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04488_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	8330608.401	8149959.262
25N04489	1	Lane7	2335FYLT4	ILLUMINA	7	25N04489	25N04489_Lane7	fastqs/LOSH_009/L_25N04489_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04489_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	8351110.097	8231266.774
25N04490	1	Lane5	2332T2LT4	ILLUMINA	5	25N04490	25N04490_Lane5	fastqs/LOSH_010/L_25N04490_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04490_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	7399489.968	7192430.11
25N04491	1	Lane5	2332T2LT4	ILLUMINA	5	25N04491	25N04491_Lane5	fastqs/LOSH_010/L_25N04491_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04491_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	7603133.778	7368721.991
25N04492	1	Lane4	2332T2LT4	ILLUMINA	4	25N04492	25N04492_Lane4	fastqs/LOSH_011/L_25N04492_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N04492_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	6166855.852	6058214.589
25N04493	1	Lane7	2335FYLT4	ILLUMINA	7	25N04493	25N04493_Lane7	fastqs/LOSH_009/L_25N04493_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04493_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	7980576.903	7787981.071
25N04494	1	Lane7	2335FYLT4	ILLUMINA	7	25N04494	25N04494_Lane7	fastqs/LOSH_009/L_25N04494_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04494_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	7196011.203	7036265.77
25N04495	1	Lane7	2335FYLT4	ILLUMINA	7	25N04495	25N04495_Lane7	fastqs/LOSH_009/L_25N04495_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04495_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	9290648.299	9098529.481
25N04496	1	Lane7	2335FYLT4	ILLUMINA	7	25N04496	25N04496_Lane7	fastqs/LOSH_009/L_25N04496_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04496_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	10774003.322	10564228.205
25N04497	1	Lane7	2335FYLT4	ILLUMINA	7	25N04497	25N04497_Lane7	fastqs/LOSH_009/L_25N04497_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04497_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	8704955.337	8408748.516
25N04498	1	Lane7	2335FYLT4	ILLUMINA	7	25N04498	25N04498_Lane7	fastqs/LOSH_009/L_25N04498_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04498_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	7933969.377	7777844.085
25N04499	1	Lane7	2335FYLT4	ILLUMINA	7	25N04499	25N04499_Lane7	fastqs/LOSH_009/L_25N04499_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04499_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	11657180.352	11286298.162
25N04500	1	Lane7	2335FYLT4	ILLUMINA	7	25N04500	25N04500_Lane7	fastqs/LOSH_009/L_25N04500_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04500_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	10383234.362	10132160.298
25N04501	1	Lane5	2332T2LT4	ILLUMINA	5	25N04501	25N04501_Lane5	fastqs/LOSH_010/L_25N04501_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04501_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	8440293.136	8263618.362
25N04502	1	Lane5	2332T2LT4	ILLUMINA	5	25N04502	25N04502_Lane5	fastqs/LOSH_010/L_25N04502_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04502_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	4627758.23	4516579.425
25N04503	1	Lane7	2335FYLT4	ILLUMINA	7	25N04503	25N04503_Lane7	fastqs/LOSH_009/L_25N04503_CKDL250033621-1A_2335FYLT4_L7_1.fq.gz	fastqs/LOSH_009/L_25N04503_CKDL250033621-1A_2335FYLT4_L7_2.fq.gz	5585493.553	5505299.384
