id	chrom	len	cumlen
scaffold_group001	ScTjWWh_1461-HRSCAF-2358_RagTag	878281	878281
scaffold_group001	VYXG01002701.1_RagTag	214530	1092811
scaffold_group001	VYXG01010690.1_RagTag	180389	1273200
scaffold_group001	VYXG01009338.1_RagTag	159232	1432432
scaffold_group001	VYXG01003305.1_RagTag	131409	1563841
scaffold_group001	VYXG01008820.1_RagTag	115875	1679716
scaffold_group001	VYXG01005407.1_RagTag	107120	1786836
scaffold_group001	VYXG01009465.1_RagTag	87801	1874637
scaffold_group001	VYXG01008392.1_RagTag	81767	1956404
scaffold_group001	VYXG01009588.1_RagTag	62599	2019003
scaffold_group001	VYXG01009485.1_RagTag	62132	2081135
scaffold_group001	VYXG01008558.1_RagTag	47050	2128185
scaffold_group001	VYXG01002916.1_RagTag	46146	2174331
scaffold_group001	VYXG01001201.1_RagTag	35925	2210256
scaffold_group001	VYXG01009831.1_RagTag	33404	2243660
scaffold_group001	VYXG01003775.1_RagTag	30443	2274103
scaffold_group001	VYXG01009889.1_RagTag	24249	2298352
scaffold_group001	ScTjWWh_3177-HRSCAF-4972_RagTag	23840	2322192
scaffold_group001	VYXG01008943.1_RagTag	19394	2341586
scaffold_group001	VYXG01006476.1_RagTag	18264	2359850
scaffold_group001	VYXG01000545.1_RagTag	16845	2376695
scaffold_group001	VYXG01009598.1_RagTag	15903	2392598
scaffold_group001	VYXG01007834.1_RagTag	13785	2406383
scaffold_group001	ScTjWWh_1050-HRSCAF-1722_RagTag	13566	2419949
scaffold_group001	VYXG01011363.1_RagTag	12428	2432377
scaffold_group001	VYXG01000764.1_RagTag	11912	2444289
scaffold_group001	ScTjWWh_955-HRSCAF-1562_RagTag	11048	2455337
scaffold_group001	VYXG01007901.1_RagTag	10669	2466006
scaffold_group001	ScTjWWh_1955-HRSCAF-3109_RagTag	10320	2476326
scaffold_group001	ScTjWWh_181-HRSCAF-324_RagTag	9416	2485742
scaffold_group001	ScTjWWh_1572-HRSCAF-2518_RagTag	8888	2494630
scaffold_group001	VYXG01009287.1_RagTag	8875	2503505
scaffold_group001	ScTjWWh_3453-HRSCAF-5409_RagTag	8417	2511922
scaffold_group001	VYXG01009168.1_RagTag	8125	2520047
scaffold_group001	VYXG01003497.1_RagTag	7959	2528006
scaffold_group001	VYXG01011047.1_RagTag	7415	2535421
scaffold_group001	VYXG01005041.1_RagTag	7323	2542744
scaffold_group001	ScTjWWh_3577-HRSCAF-5576_RagTag	7026	2549770
scaffold_group001	ScTjWWh_3252-HRSCAF-5089_RagTag	6837	2556607
scaffold_group001	VYXG01001592.1_RagTag	6575	2563182
scaffold_group001	ScTjWWh_2529-HRSCAF-3996_RagTag	6422	2569604
scaffold_group001	VYXG01006038.1_RagTag	6189	2575793
scaffold_group001	VYXG01005953.1_RagTag	6066	2581859
scaffold_group001	ScTjWWh_2995-HRSCAF-4694_RagTag	5834	2587693
scaffold_group001	VYXG01000534.1_RagTag	5682	2593375
scaffold_group001	ScTjWWh_682-HRSCAF-1113_RagTag	5568	2598943
scaffold_group001	VYXG01002765.1_RagTag	5365	2604308
scaffold_group001	VYXG01002687.1_RagTag	5217	2609525
scaffold_group001	VYXG01002952.1_RagTag	5105	2614630
scaffold_group001	VYXG01003773.1_RagTag	4918	2619548
scaffold_group001	VYXG01009841.1_RagTag	4834	2624382
scaffold_group001	VYXG01009503.1_RagTag	4698	2629080
scaffold_group001	VYXG01007502.1_RagTag	4616	2633696
scaffold_group001	VYXG01002360.1_RagTag	4429	2638125
scaffold_group001	VYXG01002951.1_RagTag	4402	2642527
scaffold_group001	ScTjWWh_1085-HRSCAF-1770_RagTag	4235	2646762
scaffold_group001	VYXG01006273.1_RagTag	4128	2650890
scaffold_group001	VYXG01002795.1_RagTag	4043	2654933
scaffold_group001	VYXG01004786.1_RagTag	3920	2658853
scaffold_group001	VYXG01007938.1_RagTag	3830	2662683
scaffold_group001	VYXG01005369.1_RagTag	3753	2666436
scaffold_group001	ScTjWWh_2300-HRSCAF-3643_RagTag	3665	2670101
scaffold_group001	VYXG01009703.1_RagTag	3546	2673647
scaffold_group001	ScTjWWh_3472-HRSCAF-5435_RagTag	3428	2677075
scaffold_group001	VYXG01018103.1_RagTag	3424	2680499
scaffold_group001	ScTjWWh_1437-HRSCAF-2310_RagTag	3321	2683820
scaffold_group001	VYXG01007644.1_RagTag	3272	2687092
scaffold_group001	ScTjWWh_3263-HRSCAF-5108_RagTag	3167	2690259
scaffold_group001	VYXG01007379.1_RagTag	3135	2693394
scaffold_group001	VYXG01009855.1_RagTag	3045	2696439
scaffold_group001	VYXG01003274.1_RagTag	3023	2699462
scaffold_group001	VYXG01002999.1_RagTag	2956	2702418
scaffold_group001	VYXG01008161.1_RagTag	2898	2705316
scaffold_group001	VYXG01006161.1_RagTag	2845	2708161
scaffold_group001	VYXG01002832.1_RagTag	2793	2710954
scaffold_group001	VYXG01008528.1_RagTag	2750	2713704
scaffold_group001	VYXG01006393.1_RagTag	2711	2716415
scaffold_group001	VYXG01002636.1_RagTag	2670	2719085
scaffold_group001	VYXG01002272.1_RagTag	2636	2721721
scaffold_group001	VYXG01011759.1_RagTag	2606	2724327
scaffold_group001	VYXG01012202.1_RagTag	2540	2726867
scaffold_group001	VYXG01009559.1_RagTag	2502	2729369
scaffold_group001	VYXG01010472.1_RagTag	2499	2731868
scaffold_group001	VYXG01000586.1_RagTag	2430	2734298
scaffold_group001	ScTjWWh_3335-HRSCAF-5234_RagTag	2429	2736727
scaffold_group001	VYXG01012020.1_RagTag	2374	2739101
scaffold_group001	VYXG01000845.1_RagTag	2356	2741457
scaffold_group001	ScTjWWh_2640-HRSCAF-4165_RagTag	2313	2743770
scaffold_group001	VYXG01010157.1_RagTag	2303	2746073
scaffold_group001	ScTjWWh_3199-HRSCAF-5006_RagTag	2233	2748306
scaffold_group001	VYXG01007969.1_RagTag	2233	2750539
scaffold_group001	VYXG01000018.1_RagTag	2187	2752726
scaffold_group001	ScTjWWh_90-HRSCAF-160_RagTag	2163	2754889
scaffold_group001	ScTjWWh_2096-HRSCAF-3308_RagTag	2120	2757009
scaffold_group001	VYXG01008414.1_RagTag	2102	2759111
scaffold_group001	VYXG01003522.1_RagTag	2057	2761168
scaffold_group001	VYXG01006829.1_RagTag	2042	2763210
scaffold_group001	VYXG01010139.1_RagTag	1984	2765194
scaffold_group001	VYXG01002180.1_RagTag	1977	2767171
scaffold_group001	VYXG01008823.1_RagTag	1919	2769090
scaffold_group001	VYXG01017993.1_RagTag	1913	2771003
scaffold_group001	VYXG01001998.1_RagTag	1871	2772874
scaffold_group001	VYXG01010369.1_RagTag	1859	2774733
scaffold_group001	VYXG01004339.1_RagTag	1808	2776541
scaffold_group001	VYXG01009345.1_RagTag	1802	2778343
scaffold_group001	ScTjWWh_1393-HRSCAF-2235_RagTag	1768	2780111
scaffold_group001	ScTjWWh_1696-HRSCAF-2705_RagTag	1743	2781854
scaffold_group001	VYXG01011494.1_RagTag	1708	2783562
scaffold_group001	ScTjWWh_1232-HRSCAF-2000_RagTag	1684	2785246
scaffold_group001	VYXG01005107.1_RagTag	1668	2786914
scaffold_group001	VYXG01002846.1_RagTag	1643	2788557
scaffold_group001	VYXG01008219.1_RagTag	1628	2790185
scaffold_group001	VYXG01001860.1_RagTag	1602	2791787
scaffold_group001	VYXG01007967.1_RagTag	1591	2793378
scaffold_group001	ScTjWWh_1626-HRSCAF-2594_RagTag	1559	2794937
scaffold_group001	ScTjWWh_509-HRSCAF-849_RagTag	1555	2796492
scaffold_group001	VYXG01005992.1_RagTag	1525	2798017
scaffold_group001	VYXG01003450.1_RagTag	1518	2799535
scaffold_group001	VYXG01017919.1_RagTag	1487	2801022
scaffold_group001	VYXG01006126.1_RagTag	1479	2802501
scaffold_group001	VYXG01017905.1_RagTag	1449	2803950
scaffold_group001	VYXG01000382.1_RagTag	1440	2805390
scaffold_group001	VYXG01011617.1_RagTag	1422	2806812
scaffold_group001	VYXG01003117.1_RagTag	1412	2808224
scaffold_group001	VYXG01012074.1_RagTag	1399	2809623
scaffold_group001	VYXG01004426.1_RagTag	1387	2811010
scaffold_group001	ScTjWWh_2324-HRSCAF-3683_RagTag	1373	2812383
scaffold_group001	VYXG01001542.1_RagTag	1355	2813738
scaffold_group001	VYXG01004383.1_RagTag	1347	2815085
scaffold_group001	VYXG01011082.1_RagTag	1326	2816411
scaffold_group001	VYXG01003599.1_RagTag	1320	2817731
scaffold_group001	VYXG01009112.1_RagTag	1307	2819038
scaffold_group001	VYXG01002273.1_RagTag	1296	2820334
scaffold_group001	VYXG01017827.1_RagTag	1287	2821621
scaffold_group001	VYXG01005032.1_RagTag	1266	2822887
scaffold_group001	VYXG01011526.1_RagTag	1257	2824144
scaffold_group001	ScTjWWh_317-HRSCAF-541_RagTag	1246	2825390
scaffold_group001	VYXG01012873.1_RagTag	1234	2826624
scaffold_group001	ScTjWWh_1035-HRSCAF-1701_RagTag	1218	2827842
scaffold_group001	VYXG01008483.1_RagTag	1214	2829056
scaffold_group001	VYXG01003989.1_RagTag	1195	2830251
scaffold_group001	VYXG01007167.1_RagTag	1194	2831445
scaffold_group001	VYXG01001931.1_RagTag	1180	2832625
scaffold_group001	VYXG01005339.1_RagTag	1174	2833799
scaffold_group001	VYXG01000138.1_RagTag	1161	2834960
scaffold_group001	VYXG01012328.1_RagTag	1157	2836117
scaffold_group001	VYXG01009565.1_RagTag	1149	2837266
scaffold_group001	VYXG01012760.1_RagTag	1138	2838404
scaffold_group001	VYXG01017749.1_RagTag	1131	2839535
scaffold_group001	VYXG01007846.1_RagTag	1119	2840654
scaffold_group001	VYXG01007450.1_RagTag	1112	2841766
scaffold_group001	VYXG01012065.1_RagTag	1101	2842867
scaffold_group001	VYXG01008103.1_RagTag	1092	2843959
scaffold_group001	ScTjWWh_891-HRSCAF-1452_RagTag	1089	2845048
scaffold_group001	VYXG01011841.1_RagTag	1076	2846124
scaffold_group001	VYXG01011161.1_RagTag	1072	2847196
scaffold_group001	VYXG01000184.1_RagTag	1061	2848257
scaffold_group001	VYXG01006492.1_RagTag	1057	2849314
scaffold_group001	VYXG01000398.1_RagTag	1042	2850356
scaffold_group001	VYXG01006971.1_RagTag	1040	2851396
scaffold_group001	VYXG01012835.1_RagTag	1035	2852431
scaffold_group001	VYXG01004415.1_RagTag	1019	2853450
scaffold_group001	VYXG01008198.1_RagTag	1019	2854469
scaffold_group001	VYXG01004071.1_RagTag	1005	2855474
scaffold_group001	VYXG01011321.1_RagTag	1003	2856477
scaffold_group001	VYXG01005736.1_RagTag	990	2857467
scaffold_group001	VYXG01005874.1_RagTag	986	2858453
scaffold_group001	VYXG01008422.1_RagTag	970	2859423
scaffold_group001	VYXG01008497.1_RagTag	963	2860386
scaffold_group001	VYXG01008498.1_RagTag	958	2861344
scaffold_group001	VYXG01007569.1_RagTag	950	2862294
scaffold_group001	VYXG01007267.1_RagTag	942	2863236
scaffold_group001	ScTjWWh_991-HRSCAF-1621_RagTag	934	2864170
scaffold_group001	VYXG01007680.1_RagTag	929	2865099
scaffold_group001	VYXG01010409.1_RagTag	922	2866021
scaffold_group001	VYXG01011737.1_RagTag	918	2866939
scaffold_group001	VYXG01004737.1_RagTag	910	2867849
scaffold_group001	VYXG01008620.1_RagTag	904	2868753
scaffold_group001	VYXG01012162.1_RagTag	893	2869646
scaffold_group001	VYXG01011332.1_RagTag	888	2870534
scaffold_group001	VYXG01008742.1_RagTag	882	2871416
scaffold_group001	VYXG01009236.1_RagTag	878	2872294
scaffold_group001	ScTjWWh_3481-HRSCAF-5448_RagTag	872	2873166
scaffold_group001	ScTjWWh_3010-HRSCAF-4715_RagTag	870	2874036
scaffold_group001	VYXG01012955.1_RagTag	862	2874898
scaffold_group001	VYXG01005070.1_RagTag	856	2875754
scaffold_group001	VYXG01004927.1_RagTag	855	2876609
scaffold_group001	VYXG01010162.1_RagTag	847	2877456
scaffold_group001	VYXG01010470.1_RagTag	843	2878299
scaffold_group001	VYXG01009445.1_RagTag	839	2879138
scaffold_group001	VYXG01001114.1_RagTag	836	2879974
scaffold_group001	ScTjWWh_47-HRSCAF-87_RagTag	831	2880805
scaffold_group001	VYXG01007278.1_RagTag	830	2881635
scaffold_group001	VYXG01010642.1_RagTag	824	2882459
scaffold_group001	VYXG01011183.1_RagTag	821	2883280
scaffold_group001	ScTjWWh_1747-HRSCAF-2785_RagTag	816	2884096
scaffold_group001	VYXG01009077.1_RagTag	815	2884911
scaffold_group001	VYXG01004385.1_RagTag	809	2885720
scaffold_group001	VYXG01006949.1_RagTag	807	2886527
scaffold_group001	VYXG01003591.1_RagTag	800	2887327
scaffold_group001	VYXG01001549.1_RagTag	797	2888124
scaffold_group001	VYXG01002950.1_RagTag	793	2888917
scaffold_group001	VYXG01009765.1_RagTag	792	2889709
scaffold_group001	VYXG01007132.1_RagTag	787	2890496
scaffold_group001	VYXG01008418.1_RagTag	784	2891280
scaffold_group001	VYXG01017411.1_RagTag	781	2892061
scaffold_group001	VYXG01008775.1_RagTag	776	2892837
scaffold_group001	VYXG01017400.1_RagTag	774	2893611
scaffold_group001	VYXG01005233.1_RagTag	768	2894379
scaffold_group001	VYXG01000227.1_RagTag	767	2895146
scaffold_group001	VYXG01012923.1_RagTag	763	2895909
scaffold_group001	VYXG01002849.1_RagTag	757	2896666
scaffold_group001	VYXG01002487.1_RagTag	754	2897420
scaffold_group001	VYXG01008094.1_RagTag	751	2898171
scaffold_group001	VYXG01012737.1_RagTag	746	2898917
scaffold_group001	VYXG01004159.1_RagTag	742	2899659
scaffold_group001	VYXG01010455.1_RagTag	741	2900400
scaffold_group001	VYXG01011657.1_RagTag	736	2901136
scaffold_group001	VYXG01010088.1_RagTag	734	2901870
scaffold_group001	VYXG01011667.1_RagTag	729	2902599
scaffold_group001	VYXG01011330.1_RagTag	727	2903326
scaffold_group001	VYXG01005046.1_RagTag	722	2904048
scaffold_group001	VYXG01010296.1_RagTag	718	2904766
scaffold_group001	ScTjWWh_897-HRSCAF-1463_RagTag	713	2905479
scaffold_group001	VYXG01012913.1_RagTag	710	2906189
scaffold_group001	VYXG01010746.1_RagTag	701	2906890
scaffold_group001	VYXG01007235.1_RagTag	700	2907590
scaffold_group001	VYXG01012655.1_RagTag	697	2908287
scaffold_group001	VYXG01005709.1_RagTag	688	2908975
scaffold_group001	VYXG01017247.1_RagTag	688	2909663
scaffold_group001	VYXG01010269.1_RagTag	681	2910344
scaffold_group001	VYXG01003759.1_RagTag	678	2911022
scaffold_group001	VYXG01008323.1_RagTag	674	2911696
scaffold_group001	VYXG01002248.1_RagTag	667	2912363
scaffold_group001	ScTjWWh_2546-HRSCAF-4022_RagTag	660	2913023
scaffold_group001	VYXG01006552.1_RagTag	658	2913681
scaffold_group001	VYXG01003908.1_RagTag	650	2914331
scaffold_group001	VYXG01008584.1_RagTag	648	2914979
scaffold_group001	VYXG01006966.1_RagTag	644	2915623
scaffold_group001	VYXG01003024.1_RagTag	638	2916261
scaffold_group001	VYXG01000359.1_RagTag	633	2916894
scaffold_group001	VYXG01011508.1_RagTag	627	2917521
scaffold_group001	VYXG01007464.1_RagTag	622	2918143
