id	scatter_idx	chrom	start	end	scatter_length
ScTjWWh_1022-HRSCAF-1675_RagTag	scat_0001	ScTjWWh_1022-HRSCAF-1675_RagTag	1	12919262	12919262
ScTjWWh_1022-HRSCAF-1675_RagTag	scat_0002	ScTjWWh_1022-HRSCAF-1675_RagTag	12919263	25838524	12919262
ScTjWWh_129-HRSCAF-223_RagTag	scat_0001	ScTjWWh_129-HRSCAF-223_RagTag	1	16465312	16465312
ScTjWWh_1396-HRSCAF-2239_RagTag	scat_0001	ScTjWWh_1396-HRSCAF-2239_RagTag	1	10330470	10330470
ScTjWWh_1396-HRSCAF-2239_RagTag	scat_0002	ScTjWWh_1396-HRSCAF-2239_RagTag	10330471	20660940	10330470
ScTjWWh_149-HRSCAF-266_RagTag	scat_0001	ScTjWWh_149-HRSCAF-266_RagTag	1	18162934	18162934
ScTjWWh_149-HRSCAF-266_RagTag	scat_0002	ScTjWWh_149-HRSCAF-266_RagTag	18162935	36325868	18162934
ScTjWWh_149-HRSCAF-266_RagTag	scat_0003	ScTjWWh_149-HRSCAF-266_RagTag	36325869	54488802	18162934
ScTjWWh_149-HRSCAF-266_RagTag	scat_0004	ScTjWWh_149-HRSCAF-266_RagTag	54488803	72651736	18162934
ScTjWWh_1795-HRSCAF-2862_RagTag	scat_0001	ScTjWWh_1795-HRSCAF-2862_RagTag	1	19446712	19446712
ScTjWWh_1795-HRSCAF-2862_RagTag	scat_0002	ScTjWWh_1795-HRSCAF-2862_RagTag	19446713	38893423	19446711
ScTjWWh_1964-HRSCAF-3119_RagTag	scat_0001	ScTjWWh_1964-HRSCAF-3119_RagTag	1	15743270	15743270
ScTjWWh_1964-HRSCAF-3119_RagTag	scat_0002	ScTjWWh_1964-HRSCAF-3119_RagTag	15743271	31486539	15743269
ScTjWWh_2389-HRSCAF-3766_RagTag	scat_0001	ScTjWWh_2389-HRSCAF-3766_RagTag	1	19139816	19139816
ScTjWWh_2389-HRSCAF-3766_RagTag	scat_0002	ScTjWWh_2389-HRSCAF-3766_RagTag	19139817	38279632	19139816
ScTjWWh_2389-HRSCAF-3766_RagTag	scat_0003	ScTjWWh_2389-HRSCAF-3766_RagTag	38279633	57419448	19139816
ScTjWWh_2389-HRSCAF-3766_RagTag	scat_0004	ScTjWWh_2389-HRSCAF-3766_RagTag	57419449	76559264	19139816
ScTjWWh_2389-HRSCAF-3766_RagTag	scat_0005	ScTjWWh_2389-HRSCAF-3766_RagTag	76559265	95699080	19139816
ScTjWWh_2389-HRSCAF-3766_RagTag	scat_0006	ScTjWWh_2389-HRSCAF-3766_RagTag	95699081	114838896	19139816
ScTjWWh_2389-HRSCAF-3766_RagTag	scat_0007	ScTjWWh_2389-HRSCAF-3766_RagTag	114838897	133978712	19139816
ScTjWWh_2389-HRSCAF-3766_RagTag	scat_0008	ScTjWWh_2389-HRSCAF-3766_RagTag	133978713	153118527	19139815
ScTjWWh_2838-HRSCAF-4468_RagTag	scat_0001	ScTjWWh_2838-HRSCAF-4468_RagTag	1	13806089	13806089
ScTjWWh_294-HRSCAF-508_RagTag	scat_0001	ScTjWWh_294-HRSCAF-508_RagTag	1	18827877	18827877
ScTjWWh_2950-HRSCAF-4635_RagTag	scat_0001	ScTjWWh_2950-HRSCAF-4635_RagTag	1	18184066	18184066
ScTjWWh_2950-HRSCAF-4635_RagTag	scat_0002	ScTjWWh_2950-HRSCAF-4635_RagTag	18184067	36368132	18184066
ScTjWWh_3655-HRSCAF-5717_RagTag	scat_0001	ScTjWWh_3655-HRSCAF-5717_RagTag	1	19618132	19618132
ScTjWWh_3655-HRSCAF-5717_RagTag	scat_0002	ScTjWWh_3655-HRSCAF-5717_RagTag	19618133	39236264	19618132
ScTjWWh_3655-HRSCAF-5717_RagTag	scat_0003	ScTjWWh_3655-HRSCAF-5717_RagTag	39236265	58854396	19618132
ScTjWWh_3655-HRSCAF-5717_RagTag	scat_0004	ScTjWWh_3655-HRSCAF-5717_RagTag	58854397	78472528	19618132
ScTjWWh_3655-HRSCAF-5717_RagTag	scat_0005	ScTjWWh_3655-HRSCAF-5717_RagTag	78472529	98090660	19618132
ScTjWWh_3655-HRSCAF-5717_RagTag	scat_0006	ScTjWWh_3655-HRSCAF-5717_RagTag	98090661	117708787	19618127
ScTjWWh_3656-HRSCAF-5880_RagTag	scat_0001	ScTjWWh_3656-HRSCAF-5880_RagTag	1	6766273	6766273
ScTjWWh_3658-HRSCAF-6021_RagTag	scat_0001	ScTjWWh_3658-HRSCAF-6021_RagTag	1	16259120	16259120
ScTjWWh_3658-HRSCAF-6021_RagTag	scat_0002	ScTjWWh_3658-HRSCAF-6021_RagTag	16259121	32518240	16259120
ScTjWWh_3658-HRSCAF-6021_RagTag	scat_0003	ScTjWWh_3658-HRSCAF-6021_RagTag	32518241	48777358	16259118
ScTjWWh_376-HRSCAF-642_RagTag	scat_0001	ScTjWWh_376-HRSCAF-642_RagTag	1	11656745	11656745
ScTjWWh_683-HRSCAF-1114_RagTag	scat_0001	ScTjWWh_683-HRSCAF-1114_RagTag	1	15605738	15605738
ScTjWWh_683-HRSCAF-1114_RagTag	scat_0002	ScTjWWh_683-HRSCAF-1114_RagTag	15605739	31211476	15605738
ScTjWWh_683-HRSCAF-1114_RagTag	scat_0003	ScTjWWh_683-HRSCAF-1114_RagTag	31211477	46817214	15605738
ScTjWWh_683-HRSCAF-1114_RagTag	scat_0004	ScTjWWh_683-HRSCAF-1114_RagTag	46817215	62422952	15605738
ScTjWWh_720-HRSCAF-1163_RagTag	scat_0001	ScTjWWh_720-HRSCAF-1163_RagTag	1	18885566	18885566
ScTjWWh_720-HRSCAF-1163_RagTag	scat_0002	ScTjWWh_720-HRSCAF-1163_RagTag	18885567	37771132	18885566
ScTjWWh_720-HRSCAF-1163_RagTag	scat_0003	ScTjWWh_720-HRSCAF-1163_RagTag	37771133	56656698	18885566
ScTjWWh_720-HRSCAF-1163_RagTag	scat_0004	ScTjWWh_720-HRSCAF-1163_RagTag	56656699	75542264	18885566
ScTjWWh_720-HRSCAF-1163_RagTag	scat_0005	ScTjWWh_720-HRSCAF-1163_RagTag	75542265	94427828	18885564
ScTjWWh_786-HRSCAF-1271_RagTag	scat_0001	ScTjWWh_786-HRSCAF-1271_RagTag	1	14809659	14809659
ScTjWWh_799-HRSCAF-1294_RagTag	scat_0001	ScTjWWh_799-HRSCAF-1294_RagTag	1	9904326	9904326
ScTjWWh_829-HRSCAF-1348_RagTag	scat_0001	ScTjWWh_829-HRSCAF-1348_RagTag	1	19096162	19096162
ScTjWWh_829-HRSCAF-1348_RagTag	scat_0002	ScTjWWh_829-HRSCAF-1348_RagTag	19096163	38192324	19096162
ScTjWWh_829-HRSCAF-1348_RagTag	scat_0003	ScTjWWh_829-HRSCAF-1348_RagTag	38192325	57288486	19096162
ScTjWWh_829-HRSCAF-1348_RagTag	scat_0004	ScTjWWh_829-HRSCAF-1348_RagTag	57288487	76384648	19096162
ScTjWWh_829-HRSCAF-1348_RagTag	scat_0005	ScTjWWh_829-HRSCAF-1348_RagTag	76384649	95480810	19096162
ScTjWWh_829-HRSCAF-1348_RagTag	scat_0006	ScTjWWh_829-HRSCAF-1348_RagTag	95480811	114576968	19096158
ScTjWWh_867-HRSCAF-1412_RagTag	scat_0001	ScTjWWh_867-HRSCAF-1412_RagTag	1	10069912	10069912
ScTjWWh_867-HRSCAF-1412_RagTag	scat_0002	ScTjWWh_867-HRSCAF-1412_RagTag	10069913	20139824	10069912
ScTjWWh_962-HRSCAF-1573_RagTag	scat_0001	ScTjWWh_962-HRSCAF-1573_RagTag	1	10055473	10055473
ScTjWWh_962-HRSCAF-1573_RagTag	scat_0002	ScTjWWh_962-HRSCAF-1573_RagTag	10055474	20110946	10055473
scaffold_group001	scat_0001	ScTjWWh_1461-HRSCAF-2358_RagTag	1	878281	2984842
scaffold_group001	scat_0001	VYXG01002701.1_RagTag	1	214530	2984842
scaffold_group001	scat_0001	VYXG01010690.1_RagTag	1	180389	2984842
scaffold_group001	scat_0001	VYXG01009338.1_RagTag	1	159232	2984842
scaffold_group001	scat_0001	VYXG01003305.1_RagTag	1	131409	2984842
scaffold_group001	scat_0001	VYXG01008820.1_RagTag	1	115875	2984842
scaffold_group001	scat_0001	VYXG01005407.1_RagTag	1	107120	2984842
scaffold_group001	scat_0001	VYXG01009465.1_RagTag	1	87801	2984842
scaffold_group001	scat_0001	VYXG01008392.1_RagTag	1	81767	2984842
scaffold_group001	scat_0001	VYXG01009588.1_RagTag	1	62599	2984842
scaffold_group001	scat_0001	VYXG01009485.1_RagTag	1	62132	2984842
scaffold_group001	scat_0001	VYXG01008558.1_RagTag	1	47050	2984842
scaffold_group001	scat_0001	VYXG01002916.1_RagTag	1	46146	2984842
scaffold_group001	scat_0001	VYXG01001201.1_RagTag	1	35925	2984842
scaffold_group001	scat_0001	VYXG01009831.1_RagTag	1	33404	2984842
scaffold_group001	scat_0001	VYXG01003775.1_RagTag	1	30443	2984842
scaffold_group001	scat_0001	VYXG01009889.1_RagTag	1	24249	2984842
scaffold_group001	scat_0001	ScTjWWh_3177-HRSCAF-4972_RagTag	1	23840	2984842
scaffold_group001	scat_0001	VYXG01008943.1_RagTag	1	19394	2984842
scaffold_group001	scat_0001	VYXG01006476.1_RagTag	1	18264	2984842
scaffold_group001	scat_0001	VYXG01000545.1_RagTag	1	16845	2984842
scaffold_group001	scat_0001	VYXG01009598.1_RagTag	1	15903	2984842
scaffold_group001	scat_0001	VYXG01007834.1_RagTag	1	13785	2984842
scaffold_group001	scat_0001	ScTjWWh_1050-HRSCAF-1722_RagTag	1	13566	2984842
scaffold_group001	scat_0001	VYXG01011363.1_RagTag	1	12428	2984842
scaffold_group001	scat_0001	VYXG01000764.1_RagTag	1	11912	2984842
scaffold_group001	scat_0001	ScTjWWh_955-HRSCAF-1562_RagTag	1	11048	2984842
scaffold_group001	scat_0001	VYXG01007901.1_RagTag	1	10669	2984842
scaffold_group001	scat_0001	ScTjWWh_1955-HRSCAF-3109_RagTag	1	10320	2984842
scaffold_group001	scat_0001	ScTjWWh_181-HRSCAF-324_RagTag	1	9416	2984842
scaffold_group001	scat_0001	ScTjWWh_1572-HRSCAF-2518_RagTag	1	8888	2984842
scaffold_group001	scat_0001	VYXG01009287.1_RagTag	1	8875	2984842
scaffold_group001	scat_0001	ScTjWWh_3453-HRSCAF-5409_RagTag	1	8417	2984842
scaffold_group001	scat_0001	VYXG01009168.1_RagTag	1	8125	2984842
scaffold_group001	scat_0001	VYXG01003497.1_RagTag	1	7959	2984842
scaffold_group001	scat_0001	VYXG01011047.1_RagTag	1	7415	2984842
scaffold_group001	scat_0001	VYXG01005041.1_RagTag	1	7323	2984842
scaffold_group001	scat_0001	ScTjWWh_3577-HRSCAF-5576_RagTag	1	7026	2984842
scaffold_group001	scat_0001	ScTjWWh_3252-HRSCAF-5089_RagTag	1	6837	2984842
scaffold_group001	scat_0001	VYXG01001592.1_RagTag	1	6575	2984842
scaffold_group001	scat_0001	ScTjWWh_2529-HRSCAF-3996_RagTag	1	6422	2984842
scaffold_group001	scat_0001	VYXG01006038.1_RagTag	1	6189	2984842
scaffold_group001	scat_0001	VYXG01005953.1_RagTag	1	6066	2984842
scaffold_group001	scat_0001	ScTjWWh_2995-HRSCAF-4694_RagTag	1	5834	2984842
scaffold_group001	scat_0001	VYXG01000534.1_RagTag	1	5682	2984842
