chrom	num_bases
ScTjWWh_1022-HRSCAF-1675_RagTag	25838524
ScTjWWh_129-HRSCAF-223_RagTag	16465312
ScTjWWh_1396-HRSCAF-2239_RagTag	20660940
ScTjWWh_149-HRSCAF-266_RagTag	72651736
ScTjWWh_1795-HRSCAF-2862_RagTag	38893423
ScTjWWh_1964-HRSCAF-3119_RagTag	31486539
ScTjWWh_2389-HRSCAF-3766_RagTag	153118527
ScTjWWh_2838-HRSCAF-4468_RagTag	13806089
ScTjWWh_294-HRSCAF-508_RagTag	18827877
ScTjWWh_2950-HRSCAF-4635_RagTag	36368132
ScTjWWh_3655-HRSCAF-5717_RagTag	117708787
ScTjWWh_3656-HRSCAF-5880_RagTag	6766273
ScTjWWh_3658-HRSCAF-6021_RagTag	48777358
ScTjWWh_376-HRSCAF-642_RagTag	11656745
ScTjWWh_683-HRSCAF-1114_RagTag	62422952
ScTjWWh_720-HRSCAF-1163_RagTag	94427828
ScTjWWh_786-HRSCAF-1271_RagTag	14809659
ScTjWWh_799-HRSCAF-1294_RagTag	9904326
ScTjWWh_829-HRSCAF-1348_RagTag	114576968
ScTjWWh_867-HRSCAF-1412_RagTag	20139824
ScTjWWh_962-HRSCAF-1573_RagTag	20110946
